Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Lingard,COR,Atacante,3.96,1.78,-0.24,13
Memphis Depay,COR,Atacante,9.56,1.99,0.0,7
Nícollas,COR,Atacante,1.0,0.0,0.0,0
Pedro Raul,COR,Atacante,3.54,1.35,-0.89,10
Vitinho,COR,Atacante,5.06,2.13,0.0,7
Yuri Alberto,COR,Atacante,10.58,4.1,0.0,17
Felipe Longo,COR,Goleiro,2.0,0.0,0.0,0
Hugo Souza,COR,Goleiro,8.95,4.21,-0.72,20
Kauê,COR,Goleiro,5.52,8.7,0.0,2
Angileri,COR,Lateral,6.1,3.99,0.0,8
Hugo,COR,Lateral,4.0,0.0,0.0,0
Jacaré,COR,Lateral,2.0,0.0,0.0,0
Matheus Bidu,COR,Lateral,12.32,7.6,-0.6,17
Matheuzinho,COR,Lateral,11.15,6.49,-1.47,18
Milans,COR,Lateral,8.55,5.28,0.0,5
Alex Santana,COR,Meia,4.02,0.8,0.0,1
Allan,COR,Meia,3.26,1.19,0.0,17
André,COR,Meia,6.15,4.07,0.0,16
Bahia,COR,Meia,2.0,0.0,0.0,0
Breno Bidon,COR,Meia,8.39,3.6,-0.19,21
Carrillo,COR,Meia,4.28,1.42,0.24,18
Charles,COR,Meia,3.53,1.03,0.0,3
Dieguinho,COR,Meia,3.03,1.29,-0.21,11
Garro,COR,Meia,11.23,5.29,0.1,21
Labyad,COR,Meia,4.52,2.05,0.0,11
Matheus Pereira,COR,Meia,3.39,1.07,-0.21,14
Raniele,COR,Meia,7.8,4.23,0.0,18
Ryan,COR,Meia,3.0,0.0,0.0,0
Fernando Diniz,COR,Técnico,9.19,5.72,-0.42,16
André Ramalho,COR,Zagueiro,5.73,2.55,0.0,6
Gabriel Paulista,COR,Zagueiro,8.7,4.38,-0.64,17
Gustavo Henrique,COR,Zagueiro,9.27,4.12,0.68,18
Iago Machado,COR,Zagueiro,1.0,0.0,0.0,0
João Pedro,COR,Zagueiro,8.56,6.53,-0.28,3
Arroyo,CRU,Atacante,5.38,3.02,0.29,19
Bruno Rodrigues,CRU,Atacante,4.72,2.4,1.16,15
Chico da Costa,CRU,Atacante,3.81,1.24,0.0,7
Gabriel Pec,CRU,Atacante,7.94,4.1,0.0,1
João Costa,CRU,Atacante,4.45,0.9,0.05,2
Kaio Jorge,CRU,Atacante,10.55,4.62,-1.25,17
Kaique Kenji,CRU,Atacante,2.39,1.2,0.0,9
Lucho Rodríguez,CRU,Atacante,8.92,7.0,1.92,1
Marquinhos,CRU,Atacante,3.54,0.45,0.0,2
Rayan Lelis,CRU,Atacante,2.0,0.0,0.0,0
Sinisterra,CRU,Atacante,5.85,3.27,0.0,8
Tevis,CRU,Atacante,2.0,0.0,0.0,0
Villarreal,CRU,Atacante,8.62,5.65,0.0,12
Wanderson,CRU,Atacante,5.27,2.07,0.36,17
Wesley,CRU,Atacante,10.9,9.5,0.0,1
Cássio,CRU,Goleiro,6.89,1.32,0.0,5
Léo Aragão,CRU,Goleiro,2.0,0.0,0.0,0
Marcelo Eráclito,CRU,Goleiro,1.0,0.0,0.0,0
Otávio,CRU,Goleiro,3.11,2.41,0.68,10
Vitor Lamounier,CRU,Goleiro,2.0,0.0,0.0,0
Fagner,CRU,Lateral,6.44,3.75,-0.49,16
Gabriel Rojas,CRU,Lateral,6.83,3.85,0.0,4
Kauã Moraes,CRU,Lateral,6.81,4.83,0.0,10
Nicolas Pontes,CRU,Lateral,1.0,0.0,0.0,0
William,CRU,Lateral,9.17,3.66,0.0,11
Felipe Morais,CRU,Meia,2.26,2.4,0.3,2
Gerson,CRU,Meia,8.39,4.24,0.16,20
Lucas Romero,CRU,Meia,8.49,4.48,0.04,16
Lucas Silva,CRU,Meia,3.86,0.41,0.0,15
Matheus Henrique,CRU,Meia,4.54,1.88,0.0,20
Matheus Pereira,CRU,Meia,13.56,6.56,-0.24,20
Peralta,CRU,Meia,4.0,0.0,0.0,0
Rhuan Gabriel,CRU,Meia,1.39,1.2,0.0,1
Zé Lucas,CRU,Meia,6.15,2.3,-0.39,2
Artur Jorge,CRU,Técnico,11.92,6.43,-0.08,15
Fabrício Bruno,CRU,Zagueiro,6.89,2.29,0.0,20
Jonathan Jesus,CRU,Zagueiro,6.66,4.27,0.46,15
João Marcelo,CRU,Zagueiro,4.47,2.8,-0.95,8
Villalba,CRU,Zagueiro,6.1,2.43,-0.91,12
Bruno Henrique,FLA,Atacante,6.45,2.84,0.0,15
Douglas Telles,FLA,Atacante,2.0,0.0,0.0,0
Everton,FLA,Atacante,5.67,1.42,0.0,9
Luiz Araújo,FLA,Atacante,8.63,3.61,0.75,12
Pedro,FLA,Atacante,18.08,8.73,2.66,21
Plata,FLA,Atacante,12.16,6.95,2.22,12
Samuel Lino,FLA,Atacante,12.27,7.79,0.57,21
Wallace Yan,FLA,Atacante,2.44,0.1,0.0,7
Andrew,FLA,Goleiro,3.0,0.0,0.0,0
Dyogo Alves,FLA,Goleiro,3.0,0.0,0.0,0
Léo Nannetti,FLA,Goleiro,2.0,0.0,0.0,0
Rossi,FLA,Goleiro,8.57,4.93,-0.39,21
Alex Sandro,FLA,Lateral,8.2,3.53,0.0,15
Ayrton Lucas,FLA,Lateral,9.56,5.2,0.92,12
Daniel Sales,FLA,Lateral,2.0,0.0,0.0,0
Emerson Royal,FLA,Lateral,7.39,5.48,0.0,10
Johnny,FLA,Lateral,0.89,0.0,-0.11,1
Varela,FLA,Lateral,7.97,4.65,-0.98,17
Arrascaeta,FLA,Meia,14.11,5.19,-0.48,14
Carrascal,FLA,Meia,13.34,6.26,1.89,15
De la Cruz,FLA,Meia,4.41,0.82,0.0,10
Erick Pulgar,FLA,Meia,5.97,2.54,-1.2,12
Evertton Araújo,FLA,Meia,2.66,1.24,-0.37,17
Guilherme Gomes,FLA,Meia,3.0,0.0,0.0,0
Jorginho,FLA,Meia,8.54,3.96,-0.76,16
Joshua,FLA,Meia,2.6,-0.3,0.0,1
Kaio Nóbrega,FLA,Meia,1.0,0.0,0.0,0
Lorran,FLA,Meia,8.0,5.93,0.0,3
Lucas Paquetá,FLA,Meia,14.34,6.28,0.8,13
Luiz Felipe,FLA,Meia,1.0,0.0,0.0,0
Pablo Lúcio,FLA,Meia,2.0,0.0,0.0,0
Sayago,FLA,Meia,2.0,0.0,0.0,0
Saúl,FLA,Meia,6.28,2.43,0.0,6
Leonardo Jardim,FLA,Técnico,13.84,7.33,0.3,19
Daniel Silva,FLA,Zagueiro,1.0,0.0,0.0,0
Danilo,FLA,Zagueiro,5.39,1.63,0.09,7
João Victor,FLA,Zagueiro,4.34,6.5,0.0,1
Léo Ortiz,FLA,Zagueiro,9.41,4.28,0.0,17
Léo Pereira,FLA,Zagueiro,8.96,4.56,-1.63,18
Vitão,FLA,Zagueiro,6.62,2.37,0.0,9
Cano,FLU,Atacante,5.89,2.61,1.82,7
Canobbio,FLU,Atacante,11.26,7.12,0.81,15
Hulk,FLU,Atacante,12.39,5.06,1.23,16
John Kennedy,FLU,Atacante,10.92,7.3,0.0,17
Keven Samuel,FLU,Atacante,1.0,0.0,0.0,0
Matheus Reis,FLU,Atacante,1.0,0.0,0.0,0
Riquelme Felipe,FLU,Atacante,3.53,0.7,0.0,3
Rodrigo Castillo,FLU,Atacante,7.87,3.86,0.0,13
Serna,FLU,Atacante,7.01,3.51,0.29,21
Soteldo,FLU,Atacante,4.28,1.74,0.32,16
Wesley Natã,FLU,Atacante,0.8,-0.3,0.0,1
Fábio,FLU,Goleiro,9.01,4.54,-1.2,22
Marcelo Pitaluga,FLU,Goleiro,3.0,0.0,0.0,0
Vitor Eudes,FLU,Goleiro,2.0,0.0,0.0,0
Guga,FLU,Lateral,6.24,3.23,0.69,13
Guilherme Arana,FLU,Lateral,7.42,3.25,0.0,14
Júlio Fidelis,FLU,Lateral,2.0,0.0,0.0,0
Renê,FLU,Lateral,10.0,5.94,0.35,15
Samuel Xavier,FLU,Lateral,7.48,3.75,0.0,14
Alisson,FLU,Meia,3.52,0.96,0.0,8
Ganso,FLU,Meia,3.97,1.13,0.56,14
Hércules,FLU,Meia,7.05,3.76,0.23,20
Lucho Acosta,FLU,Meia,9.66,4.74,-0.71,18
Martinelli,FLU,Meia,5.67,1.96,0.4,15
Nonato,FLU,Meia,5.34,2.34,-0.6,10
Otávio,FLU,Meia,2.87,0.58,0.0,6
Savarino,FLU,Meia,9.02,4.67,0.0,17
Marcão,FLU,Técnico,12.13,8.23,2.06,1
Freytes,FLU,Zagueiro,5.23,2.63,0.0,17
Ignácio,FLU,Zagueiro,7.32,3.45,0.0,10
Igor Rabello,FLU,Zagueiro,8.06,6.65,0.11,2
Jemmes,FLU,Zagueiro,6.64,3.57,-0.18,16
Millán,FLU,Zagueiro,4.11,0.75,-0.75,4
Thiago Silva,FLU,Zagueiro,7.07,2.5,0.0,2
Amuzu,GRE,Atacante,7.53,4.08,0.32,19
Braithwaite,GRE,Atacante,5.48,0.3,0.0,13
Carlos Vinícius,GRE,Atacante,13.18,5.37,-1.29,20
Enamorado,GRE,Atacante,6.68,3.31,0.0,18
Gabriel Mec,GRE,Atacante,3.17,2.89,-1.28,15
Jeferson,GRE,Atacante,1.0,0.0,0.0,0
Jovane Cabral,GRE,Atacante,8.34,4.35,0.0,2
Matheus Nascimento,GRE,Atacante,4.0,0.0,0.0,0
Pavón,GRE,Atacante,6.01,4.04,-1.43,19
Tetê,GRE,Atacante,9.27,3.83,0.18,16
Gabriel Grando,GRE,Goleiro,3.77,0.3,0.0,1
Gabriel Menegon,GRE,Goleiro,1.81,0.0,0.0,1
Thiago Beltrame,GRE,Goleiro,2.08,0.7,0.0,1
Weverton,GRE,Goleiro,7.21,4.64,-0.98,19
Caio Paulista,GRE,Lateral,5.54,3.19,-0.08,8
Diego Caito,GRE,Lateral,5.88,4.47,0.06,3
João Pedro,GRE,Lateral,3.11,0.72,0.0,5
Marcos Rocha,GRE,Lateral,5.95,0.8,0.0,4
Marlon,GRE,Lateral,8.97,5.49,0.0,8
Pedro Gabriel,GRE,Lateral,5.09,3.54,0.39,11
Vitor Ramon,GRE,Lateral,1.0,0.2,0.0,1
Bernardo Zortea,GRE,Meia,0.77,0.13,0.0,3
Danilo Barbosa,GRE,Meia,6.0,0.0,0.0,0
Dodi,GRE,Meia,2.3,-0.01,-0.22,8
Jefinho,GRE,Meia,1.46,1.5,0.0,1
Krovinovic,GRE,Meia,5.34,2.3,0.34,1
Monsalve,GRE,Meia,3.12,0.64,0.0,7
Nardoni,GRE,Meia,5.95,1.93,-0.41,14
Riquelme,GRE,Meia,2.42,-1.45,0.0,2
Roger,GRE,Meia,1.5,1.2,0.0,2
Ronald,GRE,Meia,3.0,0.0,0.0,0
Tiaguinho,GRE,Meia,0.93,0.0,0.0,1
Villasanti,GRE,Meia,6.99,2.3,0.0,2
Luís Castro,GRE,Técnico,8.9,4.64,-0.58,21
Balbuena,GRE,Zagueiro,6.98,3.94,0.0,7
Gustavo Martins,GRE,Zagueiro,5.66,2.66,0.16,14
Kannemann,GRE,Zagueiro,3.37,-0.2,-0.41,3
Luis Eduardo,GRE,Zagueiro,1.45,-0.3,0.0,2
Noriega,GRE,Zagueiro,7.15,4.21,-0.8,16
Wagner Leonardo,GRE,Zagueiro,5.36,2.78,0.0,9
Wallace,GRE,Zagueiro,5.12,4.3,-0.96,2
Alerrandro,INT,Atacante,6.18,3.45,-0.15,21
Carbonero,INT,Atacante,9.9,5.46,1.22,22
Eliasson,INT,Atacante,5.0,0.0,0.0,0
Fabricio Prado,INT,Atacante,1.0,0.0,0.0,0
João Bezerra,INT,Atacante,1.19,0.6,0.0,2
João Victor,INT,Atacante,1.0,0.0,0.0,0
Kayky,INT,Atacante,3.63,1.27,0.0,6
Raykkonen,INT,Atacante,2.63,0.5,0.0,1
Sanabria,INT,Atacante,6.0,0.0,0.0,0
Vitinho,INT,Atacante,7.19,4.62,-0.49,22
Anthoni,INT,Goleiro,3.91,2.55,0.0,9
Diego,INT,Goleiro,1.0,0.0,0.0,0
Filipe Sirio,INT,Goleiro,1.0,0.0,0.0,0
Kauan Jesus,INT,Goleiro,1.0,0.0,0.0,0
Matheus Cunha,INT,Goleiro,4.34,3.43,-0.68,12
Rochet,INT,Goleiro,6.28,3.33,0.0,11
Aguirre,INT,Lateral,5.86,3.62,0.0,15
Alisson,INT,Lateral,1.0,0.0,0.0,0
Bernabei,INT,Lateral,9.63,6.13,-1.21,20
Luiz Felipe,INT,Lateral,1.65,1.45,0.0,2
Matheus Bahia,INT,Lateral,8.06,4.72,0.52,15
Alan Patrick,INT,Meia,7.04,3.73,-0.24,18
Allex,INT,Meia,2.2,1.38,-0.18,9
Benjamin Arhin,INT,Meia,1.73,-0.3,0.0,1
Bruno Gomes,INT,Meia,6.4,3.38,0.03,23
Bruno Henrique,INT,Meia,4.32,1.88,0.58,20
Calebe,INT,Meia,5.41,1.15,-0.22,2
Gabriel Vinicius,INT,Meia,1.0,0.0,0.0,0
João Kempes,INT,Meia,2.0,0.0,0.0,0
Paulinho,INT,Meia,4.21,2.01,0.37,17
Richard,INT,Meia,4.0,0.0,0.0,0
Ronaldo,INT,Meia,3.88,2.38,0.0,9
Thiago Maia,INT,Meia,3.6,0.92,0.0,10
Villagra,INT,Meia,4.95,1.98,-0.25,17
Paulo Pezzolano,INT,Técnico,7.56,4.76,-0.23,23
Clayton Sampaio,INT,Zagueiro,2.63,-1.0,0.0,0
Félix Torres,INT,Zagueiro,4.35,3.47,-1.2,17
Juninho,INT,Zagueiro,5.36,2.17,0.0,6
Maripán,INT,Zagueiro,4.12,1.88,-0.62,5
Mercado,INT,Zagueiro,6.09,3.76,-0.29,14
Pedro Kauã,INT,Zagueiro,1.0,0.0,0.0,0
Victor Gabriel,INT,Zagueiro,3.51,2.16,0.0,16
Alesson,MIR,Atacante,8.06,4.72,-0.24,18
André Luis,MIR,Atacante,3.05,1.02,0.0,11
Bruno Santos,MIR,Atacante,3.45,1.18,0.13,4
Carlos Eduardo,MIR,Atacante,4.97,3.06,0.0,12
Edson Carioca,MIR,Atacante,4.14,2.11,0.09,14
Fernandinho,MIR,Atacante,4.61,3.4,-0.33,3
Gustavo Mosquito,MIR,Atacante,4.35,1.37,-0.64,3
Negueba,MIR,Atacante,8.57,5.23,0.0,8
Alex Muralha,MIR,Goleiro,2.64,-1.0,0.0,0
Georgemy,MIR,Goleiro,3.0,0.0,0.0,0
Thomazella,MIR,Goleiro,0.83,-1.35,0.0,2
Walter,MIR,Goleiro,4.51,2.47,-0.66,18
Daniel Borges,MIR,Lateral,5.75,4.04,0.0,5
Elias,MIR,Lateral,3.41,1.8,0.0,1
Igor Formiga,MIR,Lateral,7.21,4.57,-0.29,17
Reinaldo,MIR,Lateral,8.86,3.28,-0.12,17
Victor Luis,MIR,Lateral,3.65,1.2,0.0,7
Aldo Filho,MIR,Meia,3.8,2.09,0.0,15
Chico Kim,MIR,Meia,2.91,0.43,0.0,4
Denilson,MIR,Meia,4.5,3.34,-0.58,14
Eduardo,MIR,Meia,5.93,2.51,0.52,15
Gustavo Cazonatti,MIR,Meia,3.35,2.03,-0.53,3
Japa,MIR,Meia,6.01,4.7,-0.52,6
Neto Moura,MIR,Meia,3.23,1.45,-0.08,12
Shaylon,MIR,Meia,3.48,1.63,0.0,15
Wallisson,MIR,Meia,4.73,2.48,0.02,14
Rafael Guanaes,MIR,Técnico,6.97,4.1,-0.02,20
Gabriel Knesowitsch,MIR,Zagueiro,2.25,-0.03,0.0,3
João Victor,MIR,Zagueiro,5.64,2.86,0.74,20
Lucas Oliveira,MIR,Zagueiro,5.07,3.13,0.0,8
Willian Machado,MIR,Zagueiro,5.54,3.58,0.2,16
Belé,PAL,Atacante,3.0,0.0,0.0,0
Eduardo,PAL,Atacante,1.0,0.0,0.0,0
Flaco López,PAL,Atacante,13.77,6.29,0.85,20
Heittor,PAL,Atacante,1.17,0.55,0.0,2
Miguel Bilong,PAL,Atacante,2.0,0.0,0.0,0
Paulinho,PAL,Atacante,10.37,3.42,0.0,6
Ramón Sosa,PAL,Atacante,5.87,3.31,0.18,19
Riquelme Fillipi,PAL,Atacante,1.46,1.37,0.0,3
Vitor Roque,PAL,Atacante,14.27,5.28,-1.25,11
Carlos Miguel,PAL,Goleiro,7.8,5.01,-1.1,22
Kaique,PAL,Goleiro,1.0,0.0,0.0,0
Kauan Lima,PAL,Goleiro,1.0,0.0,0.0,0
Marcelo Lomba,PAL,Goleiro,7.08,8.9,0.0,1
Arthur,PAL,Lateral,4.38,4.05,0.16,15
Giay,PAL,Lateral,6.71,4.52,-0.58,18
Jefté,PAL,Lateral,4.16,2.47,0.0,7
Khellven,PAL,Lateral,5.69,2.9,0.0,15
Piquerez,PAL,Lateral,11.05,6.67,-0.8,11
Allan,PAL,Meia,12.25,5.82,-0.14,20
Andreas Pereira,PAL,Meia,11.49,4.73,-0.72,22
Arias,PAL,Meia,13.91,7.58,-1.26,18
Emiliano Martínez,PAL,Meia,3.99,2.19,-0.9,11
Felipe Anderson,PAL,Meia,6.18,3.0,-0.07,16
Larson,PAL,Meia,2.1,0.48,0.0,4
Lucas Evangelista,PAL,Meia,3.94,1.09,0.0,19
Luis Pacheco,PAL,Meia,1.98,0.0,0.0,3
Marlon Freitas,PAL,Meia,6.15,2.83,-0.16,22
Maurício,PAL,Meia,7.74,4.08,0.81,20
Rafael Coutinho,PAL,Meia,1.0,0.0,0.0,0
Victor Gabriel,PAL,Meia,1.0,0.0,0.0,0
Abel Ferreira,PAL,Técnico,11.69,6.54,-0.39,23
Alexander Barboza,PAL,Zagueiro,10.94,5.1,0.0,14
Benedetti,PAL,Zagueiro,5.42,4.85,0.0,2
Bruno Fuchs,PAL,Zagueiro,8.5,4.21,0.0,7
Gustavo Gómez,PAL,Zagueiro,10.99,4.98,0.43,20
Koné,PAL,Zagueiro,2.0,0.0,0.0,0
Murilo,PAL,Zagueiro,6.84,3.55,-0.35,20
Davi Gomes,RBB,Atacante,5.19,4.25,0.0,2
Eduardo Sasha,RBB,Atacante,3.95,0.99,-0.14,17
Fernando,RBB,Atacante,5.37,4.89,0.0,9
Filipinho,RBB,Atacante,1.0,0.0,0.0,0
Henry Mosquera,RBB,Atacante,5.62,3.63,0.0,16
Herrera,RBB,Atacante,4.56,2.48,-1.13,16
Isidro Pitta,RBB,Atacante,5.77,3.85,0.37,20
Jhuan Nunes,RBB,Atacante,1.83,2.3,0.0,1
Lucas Barbosa,RBB,Atacante,9.95,6.31,0.42,19
Vinicinho,RBB,Atacante,4.38,2.38,0.06,11
Cleiton,RBB,Goleiro,6.19,2.56,0.0,7
Fabrício,RBB,Goleiro,2.0,0.0,0.0,0
Gustavo Reis,RBB,Goleiro,1.0,0.0,0.0,0
Tiago Volpi,RBB,Goleiro,10.21,5.75,1.07,14
Andrés Hurtado,RBB,Lateral,5.43,3.51,0.0,14
Cauê,RBB,Lateral,4.23,3.47,0.0,3
Juninho Capixaba,RBB,Lateral,13.27,7.32,0.06,19
Marquinhos,RBB,Lateral,1.0,0.0,0.0,0
Ryan Augusto,RBB,Lateral,3.78,3.7,0.0,5
Sant'Anna,RBB,Lateral,9.7,6.65,0.82,8
Vanderlan,RBB,Lateral,4.41,-0.3,0.0,1
Bruninho,RBB,Meia,4.0,0.0,0.0,0
Eric Ramires,RBB,Meia,2.18,0.54,-0.41,14
Fabinho,RBB,Meia,1.83,-0.12,-0.21,6
Gabriel,RBB,Meia,5.15,3.08,-0.02,17
Gustavinho,RBB,Meia,5.55,2.59,0.0,15
Ignacio Sosa,RBB,Meia,3.41,1.5,0.0,15
Marcelinho,RBB,Meia,3.16,2.18,0.0,5
Matheus Fernandes,RBB,Meia,5.4,2.88,0.98,13
Praxedes,RBB,Meia,4.0,0.0,0.0,0
Rodriguinho,RBB,Meia,6.07,3.54,0.0,11
Yuri Alves,RBB,Meia,1.41,1.0,-0.07,2
Vagner Mancini,RBB,Técnico,8.63,5.47,0.29,21
Alix Vinicius,RBB,Zagueiro,5.15,3.0,0.0,17
Breno,RBB,Zagueiro,2.8,3.35,0.0,2
Eduardo Santos,RBB,Zagueiro,4.6,1.4,0.0,3
Gustavo Marques,RBB,Zagueiro,7.16,4.28,-0.2,18
Guzmán Rodríguez,RBB,Zagueiro,5.54,-1.0,0.0,0
Lucas Cunha,RBB,Zagueiro,3.0,0.0,0.0,0
Palacios,RBB,Zagueiro,3.0,0.0,0.0,0
Pedro Henrique,RBB,Zagueiro,7.72,3.92,0.99,14
Weimar Palacios,RBB,Zagueiro,1.0,0.0,0.0,0
Alef Manga,REM,Atacante,7.72,4.62,-0.63,23
Eduardo Melo,REM,Atacante,2.13,1.4,0.0,1
Filipe Lima,REM,Atacante,1.0,0.0,0.0,0
