Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Pedro Ferreira,SAO,Meia,1.51,1.2,0.0,2
Dorival Júnior,SAO,Técnico,9.14,4.02,-0.07,15
Arboleda,SAO,Zagueiro,8.37,3.77,-0.18,10
Domingos Duarte,SAO,Zagueiro,6.72,5.9,1.72,1
Isac,SAO,Zagueiro,1.0,0.0,0.0,0
Osorio,SAO,Zagueiro,2.24,2.32,0.0,5
Rafael Tolói,SAO,Zagueiro,6.92,4.1,0.0,6
Sabino,SAO,Zagueiro,6.86,3.89,0.0,16
Andrey Fernandes,VAS,Atacante,1.41,1.7,0.0,1
Andrés Gómez,VAS,Atacante,11.84,7.4,-1.72,18
Brenner,VAS,Atacante,6.94,2.9,0.0,14
Bruno Lopes,VAS,Atacante,1.57,1.7,0.0,1
Colidio,VAS,Atacante,7.51,3.3,0.51,1
David,VAS,Atacante,3.99,1.99,-0.23,18
João Vitor,VAS,Atacante,3.49,3.13,0.0,4
Marino Hinestroza,VAS,Atacante,5.43,1.75,-0.2,10
Spinelli,VAS,Atacante,5.75,3.05,0.14,15
Daniel Fuzato,VAS,Goleiro,2.0,0.0,0.0,0
Léo Jardim,VAS,Goleiro,5.79,2.79,-1.18,21
Pablo,VAS,Goleiro,1.0,0.0,0.0,0
Phillipe Gabriel,VAS,Goleiro,1.0,0.0,0.0,0
Avellar,VAS,Lateral,1.49,1.5,0.0,1
Cuiabano,VAS,Lateral,13.58,7.66,0.0,13
Lucas Piton,VAS,Lateral,5.1,2.03,0.14,15
Paulinho,VAS,Lateral,4.0,0.0,0.0,0
Paulo Henrique,VAS,Lateral,7.31,3.15,-0.99,14
Puma Rodríguez,VAS,Lateral,7.92,5.05,-0.07,14
Adson,VAS,Meia,6.63,3.69,0.0,10
Barros,VAS,Meia,8.75,4.7,0.0,17
Jair,VAS,Meia,6.37,3.13,-1.28,3
Johan Rojas,VAS,Meia,3.78,1.58,0.0,16
Lukas Zuccarello,VAS,Meia,2.32,1.3,0.0,1
Mateus Carvalho,VAS,Meia,4.0,0.0,0.0,0
Nuno Moreira,VAS,Meia,4.72,1.95,-0.05,17
Ramon Rique,VAS,Meia,2.93,2.83,0.0,4
Santiago Sosa,VAS,Meia,8.06,2.4,0.06,1
Tchê Tchê,VAS,Meia,4.24,2.13,-0.74,15
Thiago Mendes,VAS,Meia,7.65,4.23,0.5,18
Pedro Emanuel,VAS,Técnico,10.27,4.77,-1.1,3
Carlos Cuesta,VAS,Zagueiro,5.26,2.14,-0.78,11
Lucas Freitas,VAS,Zagueiro,4.77,2.5,0.0,2
Robert Renan,VAS,Zagueiro,5.11,2.61,-0.94,21
Saldivia,VAS,Zagueiro,5.83,2.55,0.0,11
Walace Falcão,VAS,Zagueiro,1.0,0.0,0.0,0
Alex Bruno,VIT,Atacante,4.0,0.0,0.0,0
Anderson Pato,VIT,Atacante,3.12,1.38,0.0,4
Erick,VIT,Atacante,8.28,4.3,0.3,18
Fabri,VIT,Atacante,4.67,2.33,0.0,8
Lucas Silva,VIT,Atacante,2.8,-0.17,0.0,3
Marinho,VIT,Atacante,4.88,2.03,-0.39,8
Osvaldo,VIT,Atacante,4.07,0.4,0.0,2
Renato Kayzer,VIT,Atacante,6.7,3.23,0.07,13
Renê,VIT,Atacante,8.41,6.23,-0.03,14
Tarzia,VIT,Atacante,4.67,3.3,0.98,16
Fintelman,VIT,Goleiro,2.0,0.0,0.0,0
Gabriel,VIT,Goleiro,5.02,0.9,0.0,3
Lucas Arcanjo,VIT,Goleiro,9.76,5.62,0.88,17
Thiago Couto,VIT,Goleiro,3.0,0.0,0.0,0
Yuri Sena,VIT,Goleiro,1.0,0.0,0.0,0
Fabiano Souza,VIT,Lateral,3.85,0.23,0.0,3
Gean,VIT,Lateral,1.0,0.0,0.0,0
Jamerson,VIT,Lateral,6.24,3.74,0.45,10
